date,discharge.daily,lnQ.daily,lnQ.bin1,lnQ.bin2,lnQ.bin1.weight,lnQ.bin2.weight
2021-10-01,NA,NA,NA,NA,NA,NA
2021-10-02,NA,NA,NA,NA,NA,NA
2021-10-03,NA,NA,NA,NA,NA,NA
2021-10-04,NA,NA,NA,NA,NA,NA
2021-10-05,0.034322345463315085,-3.3719586656918312,14,15,0.6490766890555116,0.35092331094448836
2021-10-06,0.00951563135653613,-4.65481942662177,7,8,0.0633804937052051,0.9366195062947948
2021-10-07,0.00430061702350579,-5.448996772738321,3,4,0.034267224287960446,0.9657327757120395
2021-10-08,0.013521281506001747,-4.303490426912348,9,10,0.30673549515809584,0.6932645048419042
2021-10-09,NA,NA,NA,NA,NA,NA
2021-10-10,NA,NA,NA,NA,NA,NA
2021-10-11,NA,NA,NA,NA,NA,NA
2021-10-12,NA,NA,NA,NA,NA,NA
2021-10-13,NA,NA,NA,NA,NA,NA
2021-10-14,NA,NA,NA,NA,NA,NA
2021-10-15,NA,NA,NA,NA,NA,NA
2021-10-16,0.15323234139513195,-1.875799938242972,21,22,0.16828305181121536,0.8317169481887846
2021-10-17,0.017798301179584322,-4.028652265587917,11,12,0.9325446885359404,0.06745531146405959
2021-10-18,0.005091128245933465,-5.280255813663551,4,5,0.19056242891411013,0.8094375710858899
2021-10-19,0.0033891693827216344,-5.68717040745817,2,3,0.22513539788720818,0.7748646021127918
2021-10-20,0.00339801838894284,-5.684562844051089,2,3,0.212097580851802,0.787902419148198
2021-10-21,0.003486508451154894,-5.658854487340882,2,3,0.08355579730076716,0.9164442026992329
2021-10-22,0.0036280925506941815,-5.619048236940462,3,4,0.8845245452986675,0.11547545470133247
2021-10-23,0.003344924351615608,-5.700311201019229,2,3,0.29083936569250096,0.709160634307499
2021-10-24,0.003636941556915386,-5.616612182142581,3,4,0.8723442713092614,0.1276557286907386
2021-10-25,NA,NA,NA,NA,NA,NA
2021-10-26,NA,NA,NA,NA,NA,NA
2021-10-27,NA,NA,NA,NA,NA,NA
2021-10-28,NA,NA,NA,NA,NA,NA
2021-10-29,NA,NA,NA,NA,NA,NA
2021-10-30,NA,NA,NA,NA,NA,NA
2021-10-31,NA,NA,NA,NA,NA,NA
2021-11-01,NA,NA,NA,NA,NA,NA
2021-11-02,NA,NA,NA,NA,NA,NA
2021-11-03,NA,NA,NA,NA,NA,NA
2021-11-04,NA,NA,NA,NA,NA,NA
2021-11-05,NA,NA,NA,NA,NA,NA
2021-11-06,NA,NA,NA,NA,NA,NA
2021-11-07,NA,NA,NA,NA,NA,NA
2021-11-08,NA,NA,NA,NA,NA,NA
2021-11-09,NA,NA,NA,NA,NA,NA
2021-11-10,NA,NA,NA,NA,NA,NA
2021-11-11,NA,NA,NA,NA,NA,NA
