date,discharge.daily,lnQ.daily,lnQ.bin1,lnQ.bin2,lnQ.bin1.weight,lnQ.bin2.weight
2021-10-01,0.6033547408491836,-0.505249961949379,9,10,0.4832381628983313,0.5167618371016687
2021-10-02,0.5340670221371459,-0.6272339382774923,8,9,0.09315804453889799,0.906841955461102
2021-10-03,0.46636622520744425,-0.7627840625040264,8,9,0.7709086656715688,0.2290913343284312
2021-10-04,1.4997000776824758,0.4052651399041729,14,15,0.9306626536305721,0.0693373463694279
2021-10-05,0.8291518829269396,-0.18735192841230044,11,12,0.8937479952129384,0.10625200478706165
2021-10-06,0.5882819335857306,-0.5305489671094841,9,10,0.6097331886988567,0.39026681130114327
2021-10-07,0.5098207450910432,-0.6736960952610541,8,9,0.32546882945670713,0.6745311705432928
2021-10-08,0.3854096169583771,-0.9534485701259182,7,8,0.7242312037810279,0.2757687962189721
2021-10-09,3.7754580009646594,1.328521700100585,18,19,0.3143798526485124,0.6856201473514876
2021-10-10,0.6842346577110003,-0.3794543533646077,10,11,0.8542601199744747,0.1457398800255253
2021-10-11,0.5484614055903065,-0.6006383652970747,9,10,0.96018017963681,0.039819820363189984
2021-10-12,0.46778796554031793,-0.759740150814277,8,9,0.7556891072228219,0.2443108927771781
2021-10-13,0.4979925734420321,-0.6971701148356843,8,9,0.44283892732985786,0.5571610726701421
2021-10-14,0.5080804405342062,-0.6771154964310186,8,9,0.3425658353065298,0.6574341646934703
2021-10-15,0.5493463062124271,-0.5990262417817136,9,10,0.9521195620600045,0.047880437939995524
2021-10-16,0.9675798369139952,-0.03295733870853171,11,12,0.12177504669409536,0.8782249533059047
2021-10-17,0.570790397955148,-0.5607332156037307,9,10,0.7606544311700899,0.2393455688299101
2021-10-18,0.5096142682792152,-0.6741011761380957,8,9,0.32749423384191517,0.6725057661580849
2021-10-19,0.4511223371570479,-0.7960167187087074,8,9,0.9370719466949736,0.06292805330502638
2021-10-20,0.45253817815244074,-0.7928831477936363,8,9,0.9214040921196184,0.07859590788038162
2021-10-21,0.43309986115319304,-0.8367869513499403,7,8,0.14092310990113824,0.8590768900988618
2021-10-22,0.41068237872613955,-0.8899351644035923,7,8,0.40666417516939846,0.5933358248306015
2021-10-23,0.44708129098269744,-0.805014841881221,8,9,0.9820625625575415,0.01793743744245846
2021-10-24,0.46395339617779563,-0.7679711710722354,8,9,0.796844208512614,0.20315579148738605
2021-10-25,6.408745272270942,1.8576635064164089,21,22,0.668670821069392,0.331329178930608
2021-10-26,1.5681913858346053,0.4499229717723087,14,15,0.7073734942898932,0.29262650571010684
2021-10-27,0.6186045282370608,-0.48028909862045455,9,10,0.35843384625370905,0.6415661537462909
2021-10-28,0.4448188950588093,-0.8100880570496076,7,8,0.007428638399474831,0.9925713616005252
2021-10-29,0.8428383458824039,-0.17098009988777457,11,12,0.8118888525903091,0.18811114740969093
2021-10-30,0.49896596412636474,-0.6952173937204987,8,9,0.43307532175393026,0.5669246782460697
2021-10-31,0.4655167206102086,-0.7646072632318975,8,9,0.7800246693109244,0.2199753306890756
2021-11-01,0.4415064170633381,-0.8175627243589524,7,8,0.04480197494619865,0.9551980250538014
2021-11-02,0.4357545630195547,-0.8306761229912697,7,8,0.11036896810778521,0.8896310318922148
2021-11-03,0.43628550339282696,-0.8294584256415078,7,8,0.10428048135897597,0.8957195186410241
2021-11-04,0.5158970626962709,-0.6618480243002303,8,9,0.26622847465258787,0.7337715253474122
2021-11-05,0.419407498860248,-0.8689122807021833,7,8,0.30154975666235323,0.6984502433376467
2021-11-06,0.4183220207637801,-0.8715037584489359,7,8,0.3145071453961163,0.6854928546038837
2021-11-07,0.4537475423360055,-0.7902143097571267,8,9,0.9080599019370702,0.0919400980629298
2021-11-08,0.464602323300684,-0.7665734580111425,8,9,0.7898556432071493,0.2101443567928507
2021-11-09,0.47861324981759246,-0.7368624193578676,8,9,0.6413004499407744,0.3586995500592256
2021-11-10,0.4847485607976282,-0.7241249538217447,8,9,0.57761312226016,0.42238687773983996
2021-11-11,0.451269820594068,-0.7956898465454989,8,9,0.9354375858789312,0.06456241412106878
2021-11-12,0.49433498420393396,-0.7045418859280045,8,9,0.479697782791459,0.520302217208541
2021-11-13,0.49421699745431785,-0.7047805921414672,8,9,0.4808913138587724,0.5191086861412276
2021-11-14,0.5199381088706213,-0.6540454958929246,8,9,0.22721583261605954,0.7727841673839404
2021-11-15,0.49790408337982006,-0.6973478241629298,8,9,0.4437274739660858,0.5562725260339142
2021-11-16,0.5538003060104337,-0.5909511156805425,9,10,0.9117439315541489,0.0882560684458511
2021-11-17,0.5593751799297931,-0.5809348682908689,9,10,0.8616626946057812,0.13833730539421885
2021-11-18,0.5335950751386815,-0.6281180139235372,8,9,0.09757842276912235,0.9024215772308777
2021-11-19,NA,NA,NA,NA,NA,NA
2021-11-20,NA,NA,NA,NA,NA,NA
2021-11-21,NA,NA,NA,NA,NA,NA
2021-11-22,NA,NA,NA,NA,NA,NA
2021-11-23,NA,NA,NA,NA,NA,NA
2021-11-24,NA,NA,NA,NA,NA,NA
2021-11-25,NA,NA,NA,NA,NA,NA
2021-11-26,NA,NA,NA,NA,NA,NA
2021-11-27,NA,NA,NA,NA,NA,NA
2021-11-28,NA,NA,NA,NA,NA,NA
2021-11-29,NA,NA,NA,NA,NA,NA
2021-11-30,NA,NA,NA,NA,NA,NA
2021-12-01,0.434722178960414,-0.8330481209859334,7,8,0.1222289580811037,0.8777710419188963
2021-12-02,0.4627735286816349,-0.7705174834799223,8,9,0.8095757705510483,0.19042422944895165
2021-12-03,0.4369639272031194,-0.8279046337396433,7,8,0.0965115218496532,0.9034884781503468
2021-12-04,0.44253880112247873,-0.8152271322258645,7,8,0.03312401428075929,0.9668759857192407
2021-12-05,0.4443380990541238,-0.8111695219758895,7,8,0.012835963030884415,0.9871640369691156
2021-12-06,0.4082636503590101,-0.895842111416176,7,8,0.4361989102323167,0.5638010897676833
2021-12-07,0.38864835323533825,-0.9450803204554016,7,8,0.6823899554284447,0.3176100445715553
2021-12-08,0.5166049831939673,-0.6604767522307082,8,9,0.2593721143049777,0.7406278856950224
2021-12-09,0.551027617394456,-0.5959703487723164,9,10,0.9368400970130183,0.06315990298698171
2021-12-10,0.3138329553037876,-1.1588944241088763,6,7,0.7514604736958179,0.24853952630418208
2021-12-11,0.7147637291741588,-0.3358032396058047,10,11,0.6360045511804597,0.36399544881954027
2021-12-12,0.7071535838239221,-0.34650740354583287,10,11,0.6895253708806005,0.3104746291193995
2021-12-13,0.4506208934711796,-0.797128883947155,8,9,0.9426327728872116,0.05736722711278841
2021-12-14,0.44483954273999216,-0.8100416399521928,7,8,0.007196552912400735,0.9928034470875993
2021-12-15,0.3772036385225794,-0.9749700821331457,7,8,0.8318387638171656,0.1681612361828344
2021-12-16,0.32236929663851027,-1.1320575066362044,6,7,0.6172758863324584,0.38272411366754155
