date,discharge.daily,lnQ.daily,lnQ.bin1,lnQ.bin2,lnQ.bin1.weight,lnQ.bin2.weight
2020-10-01,0.5883173467558173,-0.5304887713050347,9,10,0.8031379807752234,0.19686201922477664
2020-10-02,0.4620699943490327,-0.7720388964558225,7,8,0.01088860652916246,0.9891113934708375
2020-10-03,0.38952906840117907,-0.9428167864144791,7,8,0.8647780563224458,0.13522194367755425
2020-10-04,0.35994546854589377,-1.021802735267075,6,7,0.25970780058542564,0.7402921994145744
2020-10-05,0.35203571616055634,-1.0440226421661865,6,7,0.3708073350809823,0.6291926649190177
2020-10-06,0.35787638723715104,-1.027567639253799,6,7,0.2885323205190446,0.7114676794809554
2020-10-07,0.3514385903047852,-1.0457202905200593,6,7,0.37929557685034665,0.6207044231496534
2020-10-08,0.34312276296683125,-1.069666986326243,6,7,0.49902905588126445,0.5009709441187356
2020-10-09,0.3416467770634727,-1.0739778912449711,6,7,0.5205835804749055,0.4794164195250945
2020-10-10,0.43848900999295004,-0.8244205302138493,7,8,0.27279677531929675,0.7272032246807032
2020-10-11,5.130424047290733,1.6351883160570957,20,21,0.9747525439645723,0.025247456035427662
2020-10-12,1.982254068266475,0.6842346155160897,15,16,0.7295210466696022,0.27047895333039784
2020-10-13,NA,NA,NA,NA,NA,NA
2020-10-14,NA,NA,NA,NA,NA,NA
2020-10-15,NA,NA,NA,NA,NA,NA
2020-10-16,NA,NA,NA,NA,NA,NA
2020-10-17,NA,NA,NA,NA,NA,NA
2020-10-18,NA,NA,NA,NA,NA,NA
2020-10-19,NA,NA,NA,NA,NA,NA
2020-10-20,NA,NA,NA,NA,NA,NA
2020-10-21,NA,NA,NA,NA,NA,NA
2020-10-22,NA,NA,NA,NA,NA,NA
2020-10-23,NA,NA,NA,NA,NA,NA
2020-10-24,NA,NA,NA,NA,NA,NA
2020-10-25,NA,NA,NA,NA,NA,NA
2020-10-26,NA,NA,NA,NA,NA,NA
2020-10-27,NA,NA,NA,NA,NA,NA
2020-10-28,0.6402180544634178,-0.4459464505578347,9,10,0.3804263770392234,0.6195736229607767
2020-10-29,0.6669142025758229,-0.40509387316065093,9,10,0.17616349005330437,0.8238365099466957
2020-10-30,0.9964474621144309,-0.003558863133181113,11,12,0.16848843991595577,0.8315115600840443
2020-10-31,0.7247316083643346,-0.32195388802621866,10,11,0.7604635643811429,0.23953643561885707
2020-11-01,0.7771460201462554,-0.25212701815460714,10,11,0.4113292150230853,0.5886707849769147
2020-11-02,0.8832246718687313,-0.1241756692154906,11,12,0.7715724703275028,0.22842752967249724
2020-11-03,0.8258113736283045,-0.19138889276436674,10,11,0.1076385880718832,0.8923614119281168
2020-11-04,0.7987221467175395,-0.2247421449875555,10,11,0.274404849187827,0.725595150812173
2020-11-05,0.7611344454525899,-0.27294526727316304,10,11,0.5154204606158648,0.4845795393841352
2020-11-06,0.7522435429619168,-0.2846951471420334,10,11,0.5741698599602167,0.42583014003978326
2020-11-07,0.7503484027650648,-0.2872176432956129,10,11,0.5867823407281141,0.4132176592718859
2020-11-08,0.7666935972464682,-0.26566803950671936,10,11,0.47903432178364636,0.5209656782163536
2020-11-09,0.7526490364308797,-0.28415624691177255,10,11,0.5714753588089123,0.4285246411910877
2020-11-10,0.7797596254427468,-0.24876957930270435,10,11,0.3945420207635713,0.6054579792364287
2020-11-11,0.8986902544102378,-0.10681684847337145,11,12,0.6847783666169069,0.31522163338309306
2020-11-12,14.61477569911132,2.682033051138652,23,23,1,0
2020-11-13,3.9082686558404034,1.3630944769150402,18,19,0.3352217396748496,0.6647782603251504
2020-11-14,1.6922417038588955,0.5260541019622365,14,15,0.5204236144388681,0.4795763855611319
2020-11-15,1.2542044293396086,0.22650145072603975,12,13,0.01818687061985248,0.9818131293801475
2020-11-16,1.109592298709063,0.10399264939333791,12,13,0.6307308772833611,0.3692691227166389
2020-11-17,NA,NA,NA,NA,NA,NA
2020-11-18,NA,NA,NA,NA,NA,NA
2020-11-19,NA,NA,NA,NA,NA,NA
2020-11-20,NA,NA,NA,NA,NA,NA
2020-11-21,NA,NA,NA,NA,NA,NA
2020-11-22,NA,NA,NA,NA,NA,NA
2020-11-23,NA,NA,NA,NA,NA,NA
2020-11-24,NA,NA,NA,NA,NA,NA
2020-11-25,NA,NA,NA,NA,NA,NA
2020-11-26,0.6551521584741363,-0.4228877673111037,9,10,0.26513296080556836,0.7348670391944316
2020-11-27,0.7057701699368157,-0.3484656328211228,10,11,0.8930222883556637,0.10697771164433634
2020-11-28,0.6673858041910508,-0.404386983207156,9,10,0.17262904028582968,0.8273709597141703
2020-11-29,0.7662111209800948,-0.26629753235982223,10,11,0.48218178604916073,0.5178182139508393
2020-11-30,5.343768901599959,1.6759311908381904,20,21,0.7710381700590984,0.22896182994090164
2020-12-01,1.8672285604455503,0.6244552783016134,14,15,0.028417732741983757,0.9715822672580162
2020-12-02,1.0523240528026456,0.05100110186598647,12,13,0.8956886149201181,0.10431138507988191
2020-12-03,0.887888238424221,-0.11890940154108486,11,12,0.745241131955474,0.25475886804452597
2020-12-04,0.8415643562383632,-0.17249279027394962,10,11,0.01315807561979757,0.9868419243802025
2020-12-05,1.8103770410168014,0.5935351335382625,14,15,0.18301845655873822,0.8169815434412617
2020-12-06,1.2485566543464983,0.2219882076388592,12,13,0.040753086055755165,0.9592469139442449
2020-12-07,1.136278666038157,0.12775859482775662,12,13,0.5119011501112677,0.4880988498887323
2020-12-08,1.0234365058793142,0.023166087926499417,11,12,0.03486368461755324,0.9651363153824468
2020-12-09,0.9066617343443729,-0.09798584843635433,11,12,0.6406233664318214,0.3593766335681786
2020-12-10,0.8181443612074499,-0.2007164772565716,10,11,0.1542765105329075,0.8457234894670925
2020-12-11,0.7640520547170145,-0.2691193576903084,10,11,0.4962909127015917,0.5037090872984082
2020-12-12,0.7405879676717705,-0.30031085736459284,10,11,0.6522484110730138,0.3477515889269862
2020-12-13,0.7289870924335196,-0.3160992529827403,10,11,0.731190389163751,0.268809610836249
2020-12-14,4.16536464279786,1.4268038210777934,18,19,0.016675018861083156,0.9833249811389169
2020-12-15,2.1813188019528593,0.7799296489137195,15,16,0.2510458796814522,0.7489541203185478
2020-12-16,6.350143562071574,1.8484774208492867,21,22,0.9083070200036162,0.09169297999638382
2020-12-17,2.8175801628957124,1.0358784183090244,17,18,0.9713020327049284,0.02869796729507157
2020-12-18,1.5825157608924023,0.45901583447626854,14,15,0.8556149518687074,0.1443850481312926
2020-12-19,1.1472791735980372,0.13739320312445852,12,13,0.46372810862775826,0.5362718913722417
2020-12-20,2.277906995192123,0.8232570367956222,15,16,0.03440894027193835,0.9655910597280617
2020-12-21,1.8826050012720876,0.6326564567045749,15,16,0.9874118407271761,0.012588159272823862
2020-12-22,1.2605717021576475,0.23156534992935637,13,14,0.9928673746032693,0.007132625396730652
2020-12-23,1.3431927488611834,0.2950494283607139,13,14,0.6754469824464813,0.32455301755351873
2020-12-24,16.48508477159102,2.8024560188575163,23,23,1,0
2020-12-25,6.334207164526272,1.8459646543271375,21,22,0.920870852614362,0.07912914738563803
2020-12-26,2.168553666580246,0.7740604322371067,15,16,0.28039196306451614,0.7196080369354838
2020-12-27,1.2592161515940254,0.23048942546819925,13,14,0.9982469969090549,0.00175300309094506
2020-12-28,0.977161066005741,-0.02310378279328299,11,12,0.2662130382164651,0.7337869617835349
2020-12-29,1.050442007544716,0.04921103515720779,12,13,0.9046389484640115,0.0953610515359885
2020-12-30,1.05928403984163,0.05759324580392086,12,13,0.8627278952304461,0.13727210476955387
2020-12-31,1.2368210040101908,0.21254438125063402,12,13,0.08797221799688107,0.912027782003119
2021-01-01,1.414311749580579,0.34664301671014,13,14,0.4174790406993506,0.5825209593006494
2021-01-02,2.793050660160959,1.0271344250588224,16,17,0.015021998955938573,0.9849780010440614
2021-01-03,11.759837922855892,2.46469016030543,23,23,1,0
2021-01-04,2.5953195787341232,0.9537096607632862,16,17,0.3821458204336189,0.6178541795663811
2021-01-05,1.7213004285475118,0.5430800682626492,14,15,0.4352937829368044,0.5647062170631956
2021-01-06,1.2953913192788116,0.2588128265544871,13,14,0.8566299914776154,0.14337000852238457
2021-01-07,1.0980101026488507,0.09349954400024778,12,13,0.6831964042488117,0.3168035957511883
2021-01-08,1.1796930171989681,0.1652542497152842,12,13,0.3244228756736299,0.6755771243263702
2021-01-09,1.2740152145861987,0.2421734994540142,13,14,0.9398266269799802,0.060173373020019794
2021-01-10,1.0375707250492383,0.03688213952149196,12,13,0.9662834266425906,0.03371657335740941
2021-01-11,0.954117815770723,-0.046968118543916124,11,12,0.38553471696963065,0.6144652830303694
2021-01-12,0.9614941287130457,-0.0392668203546344,11,12,0.34702822602322203,0.652971773976778
2021-01-13,0.9379617831903975,-0.06404607367330564,11,12,0.47092449261657815,0.5290755073834219
2021-01-14,0.908435834091901,-0.0960310220475883,11,12,0.6308492344879912,0.36915076551200876
