date,discharge.daily,lnQ.daily,lnQ.bin1,lnQ.bin2,lnQ.bin1.weight,lnQ.bin2.weight
2022-10-01,0.40122279107567105,-0.9132384172404528,22,23,0.4577709244002966,0.5422290755997035
2022-10-02,0.08551679612172834,-2.4590424764642176,14,15,0.18679122051912006,0.81320877948088
2022-10-03,0.03447867790655638,-3.3674141776991533,10,11,0.7286497266937968,0.2713502733062032
2022-10-04,0.01661843368342361,-4.097242736870606,6,7,0.3777925225510611,0.6222074774489389
2022-10-05,0.00925016116989997,-4.683114303836626,3,4,0.3071503573811596,0.6928496426188404
2022-10-06,0.0063181904419406035,-5.06432243429923,1,2,0.21319100969418228,0.7868089903058177
2022-10-07,0.006253297729651765,-5.074646317640866,1,2,0.26481042640236185,0.7351895735976381
2022-10-08,0.0056456659691289995,-5.1768671132940245,1,2,0.7759144046681536,0.22408559533184635
2022-10-09,0.00566336398157141,-5.173737220285097,1,2,0.7602649396235155,0.2397350603764845
2022-10-10,NA,NA,NA,NA,NA,NA
2022-10-11,NA,NA,NA,NA,NA,NA
2022-10-12,NA,NA,NA,NA,NA,NA
2022-10-13,NA,NA,NA,NA,NA,NA
2022-10-14,NA,NA,NA,NA,NA,NA
2022-10-15,NA,NA,NA,NA,NA,NA
2022-10-16,NA,NA,NA,NA,NA,NA
2022-10-17,NA,NA,NA,NA,NA,NA
2022-10-18,NA,NA,NA,NA,NA,NA
2022-10-19,NA,NA,NA,NA,NA,NA
2022-10-20,NA,NA,NA,NA,NA,NA
2022-10-21,0.009320953219669614,-4.675490378725966,3,4,0.26903073182786047,0.7309692681721396
2022-10-22,0.007433165225812473,-4.901803504801456,2,3,0.4005963622053118,0.5994036377946882
2022-10-23,0.007680937400006223,-4.869013681978465,2,3,0.23664724809035564,0.7633527519096444
2022-10-24,0.007415467213370062,-4.904187296156731,2,3,0.4125153189816895,0.5874846810183105
2022-10-25,0.007380071188485241,-4.908971994280068,2,3,0.4364388095983736,0.5635611904016264
2022-10-26,0.00784021951198792,-4.848488446033734,2,3,0.13402106836670302,0.865978931633297
2022-10-27,0.009775202205691488,-4.627906487320415,3,4,0.031111274800106448,0.9688887251998936
2022-10-28,0.008282669823048188,-4.793589920161223,3,4,0.8595284390041456,0.14047156099585445
2022-10-29,0.008990590320744616,-4.711576768500387,3,4,0.44946268069996514,0.5505373193000349
2022-10-30,0.00956282605638256,-4.649871983011303,3,4,0.14093875325454303,0.859061246745457
2022-10-31,NA,NA,NA,NA,NA,NA
2022-11-01,0.025511684935734972,-3.6686186990004117,8,9,0.23467233320009026,0.7653276667999097
2022-11-02,0.011727882911837465,-4.445786117530459,4,5,0.12050942585032576,0.8794905741496742
2022-11-03,0.01104355976406425,-4.505907847709441,4,5,0.42111807674523455,0.5788819232547655
2022-11-04,0.009651316118594613,-4.640660987584286,3,4,0.09488377611945908,0.9051162238805409
2022-11-05,0.01132672796314282,-4.4805900397251515,4,5,0.2945290368237871,0.7054709631762128
2022-11-06,0.012553790159149963,-4.377732654285444,5,6,0.7802421096252481,0.2197578903747519
2022-11-07,0.014335390078352637,-4.245023968412385,5,6,0.11669868025995446,0.8833013197400456
2022-11-08,0.013190918607076748,-4.328226670471989,5,6,0.5327121905579753,0.46728780944202475
2022-11-09,0.011940259061146392,-4.427839474339622,4,5,0.030776209896141687,0.9692237901038583
2022-11-10,0.013367898731500854,-4.314899063159027,5,6,0.46607415399316526,0.5339258460068348
2022-11-11,NA,NA,NA,NA,NA,NA
2022-11-12,NA,NA,NA,NA,NA,NA
2022-11-13,NA,NA,NA,NA,NA,NA
2022-11-14,NA,NA,NA,NA,NA,NA
2022-11-15,NA,NA,NA,NA,NA,NA
2022-11-16,0.059760288680540015,-2.8174139075042492,13,14,0.978648375719279,0.021351624280721015
2022-11-17,0.019361625611997262,-3.9444622330969423,7,8,0.6138900036827438,0.3861099963172562
2022-11-18,0.01337969740646246,-4.3140168398993355,5,6,0.461663037694708,0.538336962305292
2022-11-19,0.01132672796314282,-4.4805900397251515,4,5,0.2945290368237871,0.7054709631762128
2022-11-20,0.009486134669132115,-4.657924055008067,3,4,0.18119911323836455,0.8188008867616354
2022-11-21,0.00906138237051426,-4.703733591039361,3,4,0.4102467933948365,0.5897532066051635
2022-11-22,0.008034897648854438,-4.823961018037521,2,3,0.01138392838563983,0.9886160716143602
2022-11-23,0.007468561250697294,-4.897052902042858,2,3,0.3768433484123209,0.6231566515876791
2022-11-24,0.0074036685384084545,-4.905779653181095,2,3,0.42047710410350675,0.5795228958964933
2022-11-25,NA,NA,NA,NA,NA,NA
2022-11-26,NA,NA,NA,NA,NA,NA
2022-11-27,NA,NA,NA,NA,NA,NA
2022-11-28,NA,NA,NA,NA,NA,NA
2022-11-29,NA,NA,NA,NA,NA,NA
2022-11-30,NA,NA,NA,NA,NA,NA
2022-12-01,NA,NA,NA,NA,NA,NA
2022-12-02,NA,NA,NA,NA,NA,NA
2022-12-03,0.05448628097270164,-2.9098063342725924,12,13,0.4406105095609943,0.5593894904390058
2022-12-04,0.03407162362038093,-3.3792903930182434,10,11,0.7880308032892474,0.21196919671075265
2022-12-05,0.016760017782962894,-4.088759122892791,6,7,0.3353744526619848,0.6646255473380152
2022-12-06,0.012718971608612463,-4.3646605727180905,5,6,0.7148817017884828,0.28511829821151724
2022-12-07,0.17464398678170845,-1.7450057384296214,18,19,0.616607530346139,0.383392469653861
2022-12-08,0.03177088200286755,-3.4492050689561533,9,10,0.1376041829787968,0.8623958170212032
2022-12-09,0.0486134905105617,-3.0238542040727436,11,12,0.010849858561750015,0.98915014143825
2022-12-10,0.020529694433196365,-3.8858829319784585,7,8,0.3209934980903248,0.6790065019096752
2022-12-11,0.011191043201084341,-4.492641534811964,4,5,0.3547865122578516,0.6452134877421484
2022-12-12,0.0075039572755821165,-4.892324760846912,2,3,0.3532026424325926,0.6467973575674074
2022-12-13,0.008672026096781223,-4.747652824974197,3,4,0.6298429630690161,0.3701570369309839
2022-12-14,0.4996207905867339,-0.6939058871315325,23,24,0.36110827385569555,0.6388917261443045
2022-12-15,3.88610007541713,1.3574061034329994,33,33,1,0
2022-12-16,0.18275262614907295,-1.6996218102827334,18,19,0.3896878896116989,0.6103121103883011
2022-12-17,0.05285806382799986,-2.940144998778002,12,13,0.592303832088043,0.40769616791195695
2022-12-18,0.028511498044723582,-3.5574478329018944,9,10,0.6788180027075028,0.3211819972924972
2022-12-19,0.01851212101476155,-3.9893295714540007,7,8,0.8382266954680354,0.1617733045319646
2022-12-20,0.014246900016140584,-4.251215938660305,5,6,0.14765853149955696,0.852341468500443
2022-12-21,0.01207299415446447,-4.416784208814521,5,6,0.9754998822706353,0.024500117729364668
2022-12-22,2.390069385647714,0.8713223971737724,31,32,0.5349668523291696,0.46503314767083037
2022-12-23,0.19581080966283163,-1.6306063427342743,18,19,0.044610551869402944,0.955389448130597
2022-12-24,0.0506074665790733,-2.9836561527234977,12,13,0.8098596018155206,0.19014039818447936
2022-12-25,0.029989282083664873,-3.506915225031763,9,10,0.42615496335684455,0.5738450366431554
2022-12-26,0.02081286263227494,-3.8721840876202966,7,8,0.25249927629951574,0.7475007237004843
2022-12-27,0.0182643488405678,-4.002804270037361,7,8,0.9056001883848356,0.09439981161516442
2022-12-28,0.018653705114300836,-3.9817104869775615,7,8,0.8001312730858394,0.19986872691416058
2022-12-29,0.01591641252320799,-4.140404467979278,6,7,0.59360117809442,0.40639882190557997
2022-12-30,0.009863692267903542,-4.618894711102332,4,5,0.9860523937096879,0.013947606290312109
2022-12-31,0.1769063827055966,-1.7321345975990283,18,19,0.5522518261931738,0.4477481738068262
2023-01-01,0.04657821907968447,-3.0666222488402806,11,12,0.22469008239943447,0.7753099176005656
2023-01-02,0.019857169960384762,-3.919190129996227,7,8,0.48752948817916764,0.5124705118208324
2023-01-03,0.014417980803083886,-4.2392791844554925,5,6,0.08797476047549316,0.9120252395245069
2023-01-04,0.5391345530331562,-0.6177901046568016,24,25,0.9805293614820417,0.019470638517958272
2023-01-05,0.06884526840097749,-2.6758937794663766,13,14,0.27104773552991496,0.728952264470085
2023-01-06,0.027485013323063762,-3.5941143929301815,9,10,0.8621508028489389,0.13784919715106114
2023-01-07,0.017078582006926284,-4.069930114739883,6,7,0.2412294118974454,0.7587705881025546
2023-01-08,0.022001579134656855,-3.8166410493517606,8,9,0.9747840849568359,0.025215915043164117
2023-01-09,NA,NA,NA,NA,NA,NA
