"date","discharge.daily","lnQ.daily","lnQ.bin1","lnQ.bin2","lnQ.bin1.weight","lnQ.bin2.weight"
"2016-10-01",1.33526090618413,0.289126708101129,4,5,0.828606548551202,0.171393451448798
"2016-10-02",0.900374750759208,-0.10494421259152,3,4,0.174481569529597,0.825518430470403
"2016-10-03",0.735414092006934,-0.307321547928513,3,4,0.3521076297885,0.6478923702115
"2016-10-04",0.6402823701184,-0.44584599661998,3,4,0.473690177703905,0.526309822296095
"2016-10-05",0.583084105859581,-0.539423839126594,3,4,0.555823206406451,0.444176793593549
"2016-10-06",0.579599675546014,-0.545417628325252,3,4,0.561083939579003,0.438916060420997
"2016-10-07",0.648682038067035,-0.432812608267744,3,4,0.462250806684532,0.537749193315468
"2016-10-08",29.0773682714702,3.36996014896442,6,7,0.124567059627279,0.875432940372721
"2016-10-09",5.66483456878731,1.73427769172124,5,6,0.560201293228142,0.439798706771858
"2016-10-10",2.40401723640195,0.877141186531596,4,5,0.312507771952151,0.687492228047849
"2016-10-11",1.48432507266649,0.394960172418932,4,5,0.735716792497149,0.264283207502851
"2016-10-12",1.29832473644685,0.261074769154,4,5,0.853227662321203,0.146772337678797
"2016-10-13",1.19094551823694,0.174747544773479,4,5,0.928996842374219,0.0710031576257806
"2016-10-14",1.08815629384151,0.0844847905445893,3,4,0.00822022672750023,0.9917797732725
"2016-10-15",1.00621328596532,0.00619406308780473,3,4,0.07693579435663,0.92306420564337
"2016-10-16",0.965787380083387,-0.0348115724292811,3,4,0.112926333876206,0.887073666123794
"2016-10-17",0.968739974430323,-0.0317590473432814,3,4,0.110247140556634,0.889752859443366
"2016-10-18",0.963098785569146,-0.037599291376402,3,4,0.115373107537207,0.884626892462793
"2016-10-19",0.932709676616895,-0.0696612984592491,3,4,0.143513847668191,0.856486152331809
"2016-10-20",0.920131838864014,-0.083238316092903,3,4,0.155430360692319,0.844569639307681
"2016-10-21",0.915065495105574,-0.0887596369179407,3,4,0.160276409603595,0.839723590396405
"2016-10-22",0.922050429709136,-0.081155360924421,3,4,0.153602156364708,0.846397843635292
"2016-10-23",0.908308783313357,-0.0961708884630806,3,4,0.166781245786752,0.833218754213248
"2016-10-24",0.938266357122991,-0.0637214074680345,3,4,0.138300420811967,0.861699579188033
"2016-10-25",0.940192944726231,-0.0616701644340562,3,4,0.136500050142236,0.863499949857764
"2016-10-26",0.936704877412824,-0.0653870117636085,3,4,0.139762317365158,0.860237682634842
"2016-10-27",0.986718998666786,-0.0133699825493584,3,4,0.0941071062699333,0.905892893730067
"2016-10-28",1.0111861982064,0.0111240953916748,3,4,0.0726087178407377,0.927391282159262
"2016-10-29",1.01358432931086,0.0134928894779504,3,4,0.07052963343927,0.92947036656073
"2016-10-30",1.01516566373478,0.0150518146777922,3,4,0.0691613688506237,0.930838631149376
"2016-10-31",1.02089461010879,0.0206793116302476,3,4,0.0642221294287826,0.935777870571217
"2016-11-01",1.00050315443376,0.000503027894008066,3,4,0.0819308011274504,0.91806919887255
"2016-11-02",0.983931029760729,-0.0161994760929983,3,4,0.0965905453855233,0.903409454614477
"2016-11-03",0.978516907828856,-0.0217172129607428,3,4,0.101433448666816,0.898566551333184
"2016-11-04",0.974511859628161,-0.0258185901463779,3,4,0.105033216743152,0.894966783256848
"2016-11-05",0.940758270314984,-0.0610690583540531,3,4,0.135972460901026,0.864027539098974
"2016-11-06",0.931597909722342,-0.0708539847246376,3,4,0.14456066529771,0.85543933470229
"2016-11-07",0.913656162923199,-0.0903009676668825,3,4,0.161629231588501,0.838370768411499
"2016-11-08",0.9141815120409,-0.0897261363901637,3,4,0.161124703673716,0.838875296326284
"2016-11-09",0.928168671494039,-0.074541804636461,3,4,0.147797455231675,0.852202544768325
"2016-11-10",0.928083119773602,-0.0746339814854214,3,4,0.14787835861199,0.85212164138801
"2016-11-11",0.936637969043119,-0.065458443824067,3,4,0.139825013098622,0.860174986901378
"2016-11-12",0.918755521379205,-0.0847352188087076,3,4,0.156744188308225,0.843255811691775
"2016-11-13",0.902155692319235,-0.10296816592182,3,4,0.17274719851299,0.82725280148701
"2016-11-14",1.08368464182754,0.0803669398684822,3,4,0.0118344535435289,0.988165546456471
"2016-11-15",1.1394276370184,0.130526063534778,4,5,0.96780992130998,0.0321900786900202
"2016-11-16",1.04155415637834,0.0407139788099762,3,4,0.0466377542130118,0.953362245786988
"2016-11-17",0.961015307432706,-0.0397649414886462,3,4,0.11727389300163,0.88272610699837
"2016-11-18",0.892236497790813,-0.114024049490938,3,4,0.182450918733406,0.817549081266594
"2016-11-19",0.817817358115838,-0.201116245896759,3,4,0.258891512741133,0.741108487258867
"2016-11-20",0.752423882665677,-0.284455440079127,3,4,0.332038106469704,0.667961893530296
"2016-11-21",0.760407504453326,-0.273900799330126,3,4,0.322774325767328,0.677225674232672
"2016-11-22",NA,NA,NA,NA,NA,NA
"2016-11-23",NA,NA,NA,NA,NA,NA
"2016-11-24",NA,NA,NA,NA,NA,NA
"2016-11-25",NA,NA,NA,NA,NA,NA
"2016-11-26",NA,NA,NA,NA,NA,NA
"2016-11-27",NA,NA,NA,NA,NA,NA
"2016-11-28",NA,NA,NA,NA,NA,NA
"2016-11-29",NA,NA,NA,NA,NA,NA
"2016-11-30",NA,NA,NA,NA,NA,NA
"2016-12-01",NA,NA,NA,NA,NA,NA
"2016-12-02",NA,NA,NA,NA,NA,NA
"2016-12-03",NA,NA,NA,NA,NA,NA
"2016-12-04",NA,NA,NA,NA,NA,NA
"2016-12-05",NA,NA,NA,NA,NA,NA
"2016-12-06",NA,NA,NA,NA,NA,NA
"2016-12-07",NA,NA,NA,NA,NA,NA
"2016-12-08",NA,NA,NA,NA,NA,NA
"2016-12-09",0.846223694978992,-0.166971539458579,3,4,0.228922792809074,0.771077207190926
"2016-12-10",NA,NA,NA,NA,NA,NA
"2016-12-11",NA,NA,NA,NA,NA,NA
