date,discharge.daily,lnQ.daily,lnQ.bin1,lnQ.bin2,lnQ.bin1.weight,lnQ.bin2.weight
2016-10-01,1.335260906184126,0.28912670810112856,4,5,0.8286065485512022,0.1713934514487978
2016-10-02,0.9003747507592081,-0.10494421259152036,3,4,0.17448156952959687,0.8255184304704031
2016-10-03,0.7354140920069338,-0.3073215479285127,3,4,0.35210762978849985,0.6478923702115001
2016-10-04,0.6402823701184004,-0.4458459966199805,3,4,0.4736901777039054,0.5263098222960946
2016-10-05,0.5830841058595815,-0.5394238391265935,3,4,0.5558232064064506,0.44417679359354945
2016-10-06,0.5795996755460139,-0.5454176283252524,3,4,0.5610839395790033,0.43891606042099673
2016-10-07,0.6486820380670347,-0.43281260826774415,3,4,0.462250806684532,0.537749193315468
2016-10-08,29.077368271470217,3.369960148964419,6,7,0.12456705962727878,0.8754329403727212
2016-10-09,5.664834568787315,1.734277691721237,5,6,0.5602012932281425,0.4397987067718575
2016-10-10,2.4040172364019496,0.8771411865315961,4,5,0.31250777195215135,0.6874922280478486
2016-10-11,1.48432507266649,0.3949601724189317,4,5,0.7357167924971488,0.26428320750285117
2016-10-12,1.298324736446847,0.2610747691539998,4,5,0.8532276623212033,0.14677233767879672
2016-10-13,1.1909455182369366,0.1747475447734793,4,5,0.9289968423742194,0.07100315762578058
2016-10-14,1.0881562938415121,0.08448479054458932,3,4,0.008220226727500233,0.9917797732724998
2016-10-15,1.0062132859653163,0.0061940630878047345,3,4,0.07693579435663,0.92306420564337
2016-10-16,0.9657873800833874,-0.03481157242928107,3,4,0.11292633387620594,0.887073666123794
2016-10-17,0.9687399744303233,-0.031759047343281416,3,4,0.11024714055663427,0.8897528594433657
2016-10-18,0.9630987855691461,-0.03759929137640202,3,4,0.11537310753720731,0.8846268924627927
2016-10-19,0.9327096766168947,-0.06966129845924912,3,4,0.14351384766819064,0.8564861523318094
2016-10-20,0.9201318388640136,-0.08323831609290304,3,4,0.15543036069231872,0.8445696393076813
2016-10-21,0.9150654951055743,-0.08875963691794073,3,4,0.16027640960359527,0.8397235903964048
2016-10-22,0.922050429709136,-0.08115536092442104,3,4,0.15360215636470817,0.8463978436352918
