date,GPP.daily,GPP.daily.sd,GPP.daily.grad,ER.daily,ER.daily.sd,ER.daily.grad,K600.daily,K600.daily.sd,K600.daily.grad,minimum,iterations,code,code.str,warnings,errors
2020-10-01,0.5520926395760825,0.012910913093952625,0.00813688552980806,-1.6648547786303645,0.03655604617776169,-6.266112677621999e-4,6.1972139153615275,0.1757930149504691,-5.899667883113574e-4,-180.40486372764448,23,2,"successive iterates within tolerance, current iterate is probably solution",,
2020-10-02,0.3633843857688259,0.013932737250348484,0.0010422009921740019,-0.7235862533790122,0.04076222734089705,8.798508588370162e-4,2.0261254771459716,0.19520271998651406,1.4422028016269895e-4,-122.79565372077232,24,2,"successive iterates within tolerance, current iterate is probably solution",,
2020-10-03,0.38319496224304783,0.01176650184488136,2.838618229361598e-4,-0.6938742973187293,0.024960355591594176,4.2136321098951125e-4,1.7977397986822714,0.13642728467872076,2.0864376892859565e-5,-137.71683131032893,27,2,"successive iterates within tolerance, current iterate is probably solution",,
2020-10-04,0.514362772614925,0.014769484863589404,-2.648183006215274e-5,-0.8155238341193176,0.024908231822184882,-1.718505870940133e-5,1.954129801881508,0.14716566417250687,-3.279978955106341e-6,-114.20952935604488,31,2,"successive iterates within tolerance, current iterate is probably solution",,
2020-10-05,0.4152440005108138,0.014066203187828752,-0.00159685933809328,-0.6990867705756354,0.03525478731109707,-1.9969706954725533e-4,1.0313740930461668,0.17173405595646501,-1.7003490881961609e-4,-115.54582014515839,25,3,last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,
2020-10-06,0.5197164251631609,0.018007103808910574,-0.001018861439661122,-0.8202060957955001,0.036135513321382026,-6.427114840334974e-4,0.9974612367771016,0.16646603354151987,-2.0131096789555142e-4,-95.62590105688405,28,2,"successive iterates within tolerance, current iterate is probably solution",,
2020-10-07,0.4825905995213582,0.020979722782831885,-3.2898839208428365e-5,-0.5536787873099479,0.05296694312582526,-2.3465304366254693e-5,-0.2093659471868143,0.19778190373118215,-6.8348029458320466e-6,-77.72411073976117,31,2,"successive iterates within tolerance, current iterate is probably solution",,
2020-10-08,0.21460981037109356,0.02695127866631085,-0.03799386802061374,-0.029000860353456663,0.12678681722790294,-0.035663335882674084,-0.5411784336207025,0.3368593741344697,-0.014516016925369956,-52.62675906092361,32,3,last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,
2020-10-09,0.49943787775218135,0.028236454024969902,0.09344519625198434,-0.04346227480130924,0.06535818314259978,0.06601163042319053,-1.048439331396896,0.18329260262131516,0.026204170570309746,-56.321608578094036,43,3,last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,
2020-10-10,-11.017801358114172,NA,8.754872387037499e-6,-318.0487537002386,NA,9.583569439782773e-6,731.8401057039368,NA,4.297641930091583e-6,-142.03200749183935,51,3,last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,NaNs produced; last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,
2020-10-11,-0.02589403339741839,0.010050260870611314,-0.0012326037257537324,-0.35988078933293305,0.05624151354041001,-6.301321491264383e-4,2.552898144747233,0.16461678967939708,-1.8990996863976745e-4,-200.05157560610425,30,2,"successive iterates within tolerance, current iterate is probably solution",,
2020-10-12,0.13363687970001245,0.009446464825453239,-2.916888064419251e-5,-2.0510875773984996,0.10019089948525002,-1.1114877906948085e-5,10.476479713747716,0.530636611611396,-1.6369134962017186e-6,-297.62494421703303,27,1,"relative gradient is close to zero, current iterate is probably solution",,
2020-10-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NAs in DO.sat
2020-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NAs in DO.sat
2020-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NAs in DO.sat
2020-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NAs in DO.sat
2020-10-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NAs in DO.sat
2020-10-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NAs in DO.sat
2020-10-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NAs in DO.sat
2020-10-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NAs in DO.sat
2020-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NAs in DO.obs; NAs in DO.sat
2020-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NAs in DO.obs
2020-10-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NAs in DO.obs
