taxonID,massForm,a,b,percAsh,method,g.a,growthForm,min.cpi,max.cpi,pb,min.growth,notes,notes.on.CPI
ephemeroptera_baetidae,afdm_mg~(a*lengthClass^b)*percAsh,0.0076,2.691,4.9,sf,NA,log(g_d) = 1 - 0.25*log(afdm_mg) - ,186,365,5.8,0.001,Data from secpRod R package example,"can be bivoltine Ecology and Classification of North American Freshwater Invertebrates, edited by James H. Thorp, and Alan P. Covich, Elsevier Science & Technology, 2001. ProQuest Ebook Central, https://ebookcentral.proquest.com/lib/duke/detail.action?docID=300657."
coleoptera_elmidae,afdm_mg~(a*lengthClass^b)*percAsh,0.0025,3.521,9.2,sf,NA,log(g_d) = 1 - 0.25*log(afdm_mg) - ,279,365,5.8,0.001,Data from secpRod R package example,
diptera_chironomidae_f,afdm_mg~(a*lengthClass^b)*percAsh,0.006,2.77,5.6,pb,NA,log(g_d) = 1 - 0.25*log(afdm_mg) - ,365,365,"rnorm(mean = 1.92, sd = 0.1)",0.001,Data from secpRod R package example,
diptera_chironomidae_ww,afdm_mg~(a*lengthClass^b)*percAsh,0.006,2.77,5.6,pb,NA,log(g_d) = 1 - 0.25*log(afdm_mg) - ,365,365,"rnorm(mean = 3.27, sd = 0.15)",0.001,Data from secpRod R package example,
diptera_chironomidae_sw,afdm_mg~(a*lengthClass^b)*percAsh,0.006,2.77,5.6,pb,NA,log(g_d) = 1 - 0.25*log(afdm_mg) - ,365,365,"rnorm(mean = 3.27, sd = 0.15)",0.001,Data from secpRod R package example,
trichoptera_hydropsychidae,afdm_mg~(a*lengthClass^b)*percAsh,0.0051,2.824,10.7,sf,NA,log(g_d) = 1 - 0.25*log(afdm_mg) - ,124,365,5.8,0.001,Data from secpRod R package example,
[oligochaeta]_unknown,afdm_mg~(a*lengthClass^b)*percAsh,0.0024,1.05,5.6,pb,NA,log(g_d) = 1 - 0.25*log(afdm_mg) - ,335,365,"rnorm(mean = 10, sd = 0.5)",0.001,Data from secpRod R package example,
diptera_simuliidae,afdm_mg~(a*lengthClass^b)*percAsh,0.004,2.807,7.9,sf,NA,log(g_d) = 1 - 0.25*log(afdm_mg) - ,186,365,5.8,0.001,Data from secpRod R package example,
diptera_tipulidae,afdm_mg~(a*lengthClass^b)*percAsh,0.0028,2.680667,3.657143,sf,NA,log(g_d) = 1 - 0.25*log(afdm_mg) - ,183,304,5.8,0.001,Data from secpRod R package example,
ephemeroptera_ephemerellidae,afdm_mg~(a*lengthClass^b)*percAsh,0.0103,2.676,7.14,sf,NA,log(g_d) = 1 - 0.25*log(afdm_mg) - ,279,365,5.8,0.001,percAsh taken from secpRod (Drunella),
