"","Full-ID_Sample_Number","Site","Person","Surber_Dnet","Sampling_Date","Specimen","Length_mm","Width_mm","Order","Family","Genus","Analysis.State","Taxa.Name.Good","Jonny.Verify","Notes","Type","Storage","X18","Month","Month_num","Year","Month_Year","Month_Year_Num","Order_Family","Replicate","Cummins2022_Number","FFG","a","b","Source","Equation","CPI","FBI_T","CPI_lower","CPI_higher","Calcd_Mass_mg"
"1","44340_ecgs_[gastropoda]_1","wastewater dominated","jonny","surber",2021-05-24,1,2,NA,"[gastropoda]","unknown",NA,"ready","yes","y","slug","non-insect","s2_c1",NA,"May",5,2021,"2021_May","2021_5","[gastropoda]_unknown","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","44446_ecgs_coleoptera_69","wastewater dominated","rena_jonny","surber",2021-09-07,69,1,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y","small, hard to tell","larva","s_e1",NA,"Sep",9,2021,"2021_Sep","2021_9","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0079
"3","44518_ecgs_coleoptera_117","wastewater dominated","rena_jonny","surber",2021-11-18,117,2,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_c1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0581155629167848
"4","44518_ecgs_coleoptera_146","wastewater dominated","rena_jonny","surber",2021-11-18,146,2.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_c1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.110483233513828
"5","44518_ecgs_coleoptera_147","wastewater dominated","rena_jonny","surber",2021-11-18,147,3,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_c1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.186749386440519
"6","44518_ecgs_coleoptera_52","wastewater dominated","rena_jonny","surber",2021-11-18,52,2,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_c1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0581155629167848
"7","44518_ecgs_coleoptera_69","wastewater dominated","rena_jonny","surber",2021-11-18,69,2,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_c1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0581155629167848
"8","44518_ecgs_coleoptera_96","wastewater dominated","rena_jonny","surber",2021-11-18,96,5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_c1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.812758899812997
"9","44446_ecng_coleoptera_148","stormwater dominated","rena_jonny","surber",2021-09-07,148,5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_d10",NA,"Sep",9,2021,"2021_Sep","2021_9","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.812758899812997
"10","44518_ecng_coleoptera_107","stormwater dominated","rena_jonny","surber",2021-11-18,107,6.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_d1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,1.72983486083812
"11","44518_ecng_coleoptera_140","stormwater dominated","rena_jonny","surber",2021-11-18,140,5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_d1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.812758899812997
"12","44518_ecng_coleoptera_228","stormwater dominated","rena_jonny","surber",2021-11-18,228,4,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_d1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.427521348498072
"13","44518_ecng_coleoptera_26","stormwater dominated","rena_jonny","surber",2021-11-18,26,3,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_d1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.186749386440519
"14","44518_ecng_coleoptera_52","stormwater dominated","rena_jonny","surber",2021-11-18,52,2.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_d1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.110483233513828
"15","44574_ecng_coleoptera_5","stormwater dominated","rena_jonny","surber",2022-01-13,5,4,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","s_d4",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.427521348498072
"16","44341_nhc_diptera_26","forested","rena_jonny","surber",2021-05-25,26,10,NA,"diptera","tbd","tbd","bring to family, genus","not yet","y","tipulidae? super weird","larva","l_c10",NA,"May",5,2021,"2021_May","2021_5","diptera_tbd","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","44341_nhc_coleoptera_8","forested","rena_jonny","surber",2021-05-25,8,8,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","s_c3",NA,"May",5,2021,"2021_May","2021_5","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,3.14501820593777
"18","44446_nhc_coleoptera_106","forested","rena_jonny","surber",2021-09-07,106,2,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_e10",NA,"Sep",9,2021,"2021_Sep","2021_9","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0581155629167848
"19","44446_nhc_coleoptera_108","forested","rena_jonny","surber",2021-09-07,108,3.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_e10",NA,"Sep",9,2021,"2021_Sep","2021_9","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.291071035541273
"20","44446_nhc_coleoptera_55","forested","rena_jonny","surber",2021-09-07,55,2,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_e10",NA,"Sep",9,2021,"2021_Sep","2021_9","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0581155629167848
"21","44446_nhc_coleoptera_85","forested","rena_jonny","surber",2021-09-07,85,3,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_e10",NA,"Sep",9,2021,"2021_Sep","2021_9","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.186749386440519
"22","44483_nhc_coleoptera_112","forested","tayton_qaqc","surber",2021-10-14,112,8.3,NA,"coleoptera","elmidae",NA,"bring to genus","yes","y",NA,"larva","s2_g5",NA,"Oct",10,2021,"2021_Oct","2021_10","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,3.4966560853053
"23","44483_nhc_coleoptera_140","forested","tayton_qaqc","surber",2021-10-14,140,2,NA,"coleoptera","elmidae",NA,"bring to genus","yes","y","adult specimen","larva","s2_h5",NA,"Oct",10,2021,"2021_Oct","2021_10","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0581155629167848
"24","44483_nhc_coleoptera_255","forested","tayton_qaqc","surber",2021-10-14,255,6.97,NA,"coleoptera","elmidae",NA,"bring to genus","yes","y",NA,"larva","s2_g5",NA,"Oct",10,2021,"2021_Oct","2021_10","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,2.11492153519332
