"","X","Full.ID_Sample_Number","Site","Person","Surber_Dnet","dateID","Specimen","Length_mm","Width_mm","Order","Family","Genus","Analysis.State","Taxa.Name.Good","Jonny.Verify","Notes","Type","Storage","X18","Month","Month_num","Year","Month_Year","Month_Year_Num","taxonID","Replicate","Cummins2022_Number","FFG","a","b","Source","Equation","CPI","FBI_T","CPI_lower","CPI_higher","Calcd_Mass_mg","lengthClass","Density_Size","Mass_Average_Size","Biomass_Size","Ave_length_Size","Density_SizeDate","Mass_Average_SizeDate","Biomass_SizeDate","Ave_length_SizeDate"
"1",2,"44446_ecgs_coleoptera_69","wastewater dominated","rena_jonny","surber",2021-09-07,69,1,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y","small, hard to tell","larva","s_e1",NA,"Sep",9,2021,"2021_Sep","2021_9","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0079,1,1,0.0079,0.0079,1,1,0.0079,0.0079,1
"2",3,"44518_ecgs_coleoptera_117","wastewater dominated","rena_jonny","surber",2021-11-18,117,2,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_c1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0581155629167848,2,4,0.0712074805660456,0.284829922264182,2.125,4,0.0712074805660456,0.284829922264182,2.125
"3",4,"44518_ecgs_coleoptera_146","wastewater dominated","rena_jonny","surber",2021-11-18,146,2.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_c1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.110483233513828,2,4,0.0712074805660456,0.284829922264182,2.125,4,0.0712074805660456,0.284829922264182,2.125
"4",5,"44518_ecgs_coleoptera_147","wastewater dominated","rena_jonny","surber",2021-11-18,147,3,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_c1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.186749386440519,3,1,0.186749386440519,0.186749386440519,3,1,0.186749386440519,0.186749386440519,3
"5",6,"44518_ecgs_coleoptera_52","wastewater dominated","rena_jonny","surber",2021-11-18,52,2,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_c1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0581155629167848,2,4,0.0712074805660456,0.284829922264182,2.125,4,0.0712074805660456,0.284829922264182,2.125
"6",7,"44518_ecgs_coleoptera_69","wastewater dominated","rena_jonny","surber",2021-11-18,69,2,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_c1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0581155629167848,2,4,0.0712074805660456,0.284829922264182,2.125,4,0.0712074805660456,0.284829922264182,2.125
"7",8,"44518_ecgs_coleoptera_96","wastewater dominated","rena_jonny","surber",2021-11-18,96,5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_c1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.812758899812997,5,1,0.812758899812997,0.812758899812997,5,1,0.812758899812997,0.812758899812997,5
"8",9,"44446_ecng_coleoptera_148","stormwater dominated","rena_jonny","surber",2021-09-07,148,5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_d10",NA,"Sep",9,2021,"2021_Sep","2021_9","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.812758899812997,5,2,0.812758899812997,1.62551779962599,5,1,0.812758899812997,0.812758899812997,5
"9",10,"44518_ecng_coleoptera_107","stormwater dominated","rena_jonny","surber",2021-11-18,107,6.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_d1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,1.72983486083812,6,1,1.72983486083812,1.72983486083812,6.5,1,1.72983486083812,1.72983486083812,6.5
"10",11,"44518_ecng_coleoptera_140","stormwater dominated","rena_jonny","surber",2021-11-18,140,5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_d1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.812758899812997,5,2,0.812758899812997,1.62551779962599,5,1,0.812758899812997,0.812758899812997,5
"11",12,"44518_ecng_coleoptera_228","stormwater dominated","rena_jonny","surber",2021-11-18,228,4,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_d1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.427521348498072,4,2,0.427521348498072,0.855042696996144,4,1,0.427521348498072,0.427521348498072,4
"12",13,"44518_ecng_coleoptera_26","stormwater dominated","rena_jonny","surber",2021-11-18,26,3,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_d1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.186749386440519,3,1,0.186749386440519,0.186749386440519,3,1,0.186749386440519,0.186749386440519,3
"13",14,"44518_ecng_coleoptera_52","stormwater dominated","rena_jonny","surber",2021-11-18,52,2.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l2_d1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.110483233513828,2,1,0.110483233513828,0.110483233513828,2.5,1,0.110483233513828,0.110483233513828,2.5
"14",15,"44574_ecng_coleoptera_5","stormwater dominated","rena_jonny","surber",2022-01-13,5,4,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","s_d4",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.427521348498072,4,2,0.427521348498072,0.855042696996144,4,1,0.427521348498072,0.427521348498072,4
"15",17,"44341_nhc_coleoptera_8","forested","rena_jonny","surber",2021-05-24,8,8,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","s_c3",NA,"May",5,2021,"2021_May","2021_5","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,3.14501820593777,8,4,3.30576184653992,13.2230473861597,8.1375,1,3.14501820593777,3.14501820593777,8
"16",18,"44446_nhc_coleoptera_106","forested","rena_jonny","surber",2021-09-07,106,2,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_e10",NA,"Sep",9,2021,"2021_Sep","2021_9","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0581155629167848,2,13,0.0691933709162415,0.89951382191114,2.07692307692308,2,0.0581155629167848,0.11623112583357,2
"17",19,"44446_nhc_coleoptera_108","forested","rena_jonny","surber",2021-09-07,108,3.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_e10",NA,"Sep",9,2021,"2021_Sep","2021_9","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.291071035541273,4,10,0.37988483110508,3.7988483110508,3.827,1,0.291071035541273,0.291071035541273,3.5
"18",20,"44446_nhc_coleoptera_55","forested","rena_jonny","surber",2021-09-07,55,2,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_e10",NA,"Sep",9,2021,"2021_Sep","2021_9","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0581155629167848,2,13,0.0691933709162415,0.89951382191114,2.07692307692308,2,0.0581155629167848,0.11623112583357,2
"19",21,"44446_nhc_coleoptera_85","forested","rena_jonny","surber",2021-09-07,85,3,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_e10",NA,"Sep",9,2021,"2021_Sep","2021_9","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.186749386440519,3,6,0.186749386440519,1.12049631864311,3,1,0.186749386440519,0.186749386440519,3
"20",22,"44483_nhc_coleoptera_112","forested","tayton_qaqc","surber",2021-10-14,112,8.3,NA,"coleoptera","elmidae",NA,"bring to genus","yes","y",NA,"larva","s2_g5",NA,"Oct",10,2021,"2021_Oct","2021_10","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,3.4966560853053,8,4,3.30576184653992,13.2230473861597,8.1375,2,3.46650548714207,6.93301097428413,8.275
"21",23,"44483_nhc_coleoptera_140","forested","tayton_qaqc","surber",2021-10-14,140,2,NA,"coleoptera","elmidae",NA,"bring to genus","yes","y","adult specimen","larva","s2_h5",NA,"Oct",10,2021,"2021_Oct","2021_10","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0581155629167848,2,13,0.0691933709162415,0.89951382191114,2.07692307692308,3,0.0581155629167848,0.174346688750354,2
"22",24,"44483_nhc_coleoptera_255","forested","tayton_qaqc","surber",2021-10-14,255,6.97,NA,"coleoptera","elmidae",NA,"bring to genus","yes","y",NA,"larva","s2_g5",NA,"Oct",10,2021,"2021_Oct","2021_10","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,2.11492153519332,7,3,2.13246389394651,6.39739168183952,6.99,1,2.11492153519332,2.11492153519332,6.97
"23",25,"44483_nhc_coleoptera_26","forested","tayton_qaqc","surber",2021-10-14,26,3.77,NA,"coleoptera","elmidae",NA,"bring to genus","yes","y",NA,"larva","s2_g5",NA,"Oct",10,2021,"2021_Oct","2021_10","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.360507113438545,4,10,0.37988483110508,3.7988483110508,3.827,1,0.360507113438545,0.360507113438545,3.77
"24",26,"44483_nhc_coleoptera_302","forested","tayton_qaqc","surber",2021-10-14,302,8.25,NA,"coleoptera","elmidae",NA,"bring to genus","yes","y",NA,"larva","s2_g5",NA,"Oct",10,2021,"2021_Oct","2021_10","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,3.43635488897883,8,4,3.30576184653992,13.2230473861597,8.1375,2,3.46650548714207,6.93301097428413,8.275
"25",27,"44483_nhc_coleoptera_323","forested","tayton_qaqc","surber",2021-10-14,323,2,NA,"coleoptera","elmidae",NA,"bring to genus","yes","y","adult specimen","larva","s2_h5",NA,"Oct",10,2021,"2021_Oct","2021_10","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0581155629167848,2,13,0.0691933709162415,0.89951382191114,2.07692307692308,3,0.0581155629167848,0.174346688750354,2
"26",28,"44483_nhc_coleoptera_346","forested","tayton_qaqc","surber",2021-10-14,346,2,NA,"coleoptera","elmidae",NA,"bring to genus","yes","y","adult specimen","larva","s2_h5",NA,"Oct",10,2021,"2021_Oct","2021_10","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0581155629167848,2,13,0.0691933709162415,0.89951382191114,2.07692307692308,3,0.0581155629167848,0.174346688750354,2
"27",29,"44518_nhc_coleoptera_140","forested","rena_jonny","surber",2021-11-18,140,1.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","s_f1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0253859737191671,2,13,0.0691933709162415,0.89951382191114,2.07692307692308,1,0.0253859737191671,0.0253859737191671,1.5
