"","Site","Taxon","Measure","average_value","lower_limit","upper_limit"
"1","forested","diptera_chironomidae","P.ann.samp",1595.59,687.3,2503.88
"2","forested","diptera_chironomidae","B.ann.samp",397.32,397.32,397.32
"3","forested","diptera_chironomidae","N.ann.samp",270.47,270.47,270.47
"4","forested","diptera_chironomidae","P_to_B",1.92,1.73,2.1
"5","stormwater dominated","diptera_chironomidae","P.ann.samp",7235.14,3167.8,11302.49
"6","stormwater dominated","diptera_chironomidae","B.ann.samp",1062.74,1062.74,1062.74
"7","stormwater dominated","diptera_chironomidae","N.ann.samp",991,991,991
"8","stormwater dominated","diptera_chironomidae","P_to_B",3.26,2.98,3.55
"9","wastewater dominated","diptera_chironomidae","P.ann.samp",9152.47,3994.02,14310.92
"10","wastewater dominated","diptera_chironomidae","B.ann.samp",1346.43,1346.43,1346.43
"11","wastewater dominated","diptera_chironomidae","N.ann.samp",1265.5,1265.5,1265.5
"12","wastewater dominated","diptera_chironomidae","P_to_B",3.25,2.97,3.54
"13","forested","coleoptera_elmidae","P.ann.samp",5779.64,2712.18,8847.1
"14","forested","coleoptera_elmidae","B.ann.samp",373.19,373.19,373.19
"15","forested","coleoptera_elmidae","N.ann.samp",48.42,48.42,48.42
"16","forested","coleoptera_elmidae","P_to_B",15.49,7.27,23.71
"17","forested","coleoptera_psephenidae","P.ann.samp",1325.12,678.03,1972.2
"18","forested","coleoptera_psephenidae","B.ann.samp",67.8,67.8,67.8
"19","forested","coleoptera_psephenidae","N.ann.samp",11.74,11.74,11.74
"20","forested","coleoptera_psephenidae","P_to_B",19.54,10,29.09
"21","forested","diptera_empididae","P.ann.samp",5.66,5.66,5.66
"22","forested","diptera_empididae","B.ann.samp",0.57,0.57,0.57
"23","forested","diptera_empididae","N.ann.samp",0.98,0.98,0.98
"24","forested","diptera_empididae","P_to_B",10,10,10
"25","forested","diptera_limoniidae","P.ann.samp",59.12,31.12,87.12
"26","forested","diptera_limoniidae","B.ann.samp",19.29,19.29,19.29
"27","forested","diptera_limoniidae","N.ann.samp",11.74,11.74,11.74
"28","forested","diptera_limoniidae","P_to_B",3.06,1.61,4.52
"29","forested","diptera_simuliidae","P.ann.samp",362.75,185.68,539.82
"30","forested","diptera_simuliidae","B.ann.samp",18.57,18.57,18.57
"31","forested","diptera_simuliidae","N.ann.samp",32.77,32.77,32.77
"32","forested","diptera_simuliidae","P_to_B",19.54,10,29.07
"33","forested","diptera_tipulidae","P.ann.samp",812.65,419.97,1205.33
